Entity,Code,Year,production|Petroleum|Crude|tonnes
Bolivia,BOL,2006,1888000
Bolivia,BOL,2007,1907000
Bolivia,BOL,2008,1806400
Bolivia,BOL,2009,1565000
Bolivia,BOL,2010,1599700
Bolivia,BOL,2011,1644800
Bolivia,BOL,2012,1925800
Bolivia,BOL,2013,3010400
Bolivia,BOL,2014,2365000
Bolivia,BOL,2015,2272000
Bolivia,BOL,2016,2103000
Bolivia,BOL,2017,1995000
Bolivia,BOL,2018,1860000
Bolivia,BOL,2019,1646000
Bolivia,BOL,2020,1494000
Bolivia,BOL,2021,1451000
Bolivia,BOL,2022,1293000
Bolivia,BOL,2023,1091000
Brazil,BRA,1970,8835000
Brazil,BRA,1971,9028000
Brazil,BRA,1972,9077000
Brazil,BRA,1973,9216000
Brazil,BRA,1974,9638000
Brazil,BRA,1975,9383000
Brazil,BRA,1976,9127000
Brazil,BRA,1977,8809000
Brazil,BRA,1978,8791000
Brazil,BRA,1979,9056000
Brazil,BRA,1980,9636000
Brazil,BRA,1981,11298000
Brazil,BRA,1982,13756000
Brazil,BRA,1983,17461000
Brazil,BRA,1984,24482865
Brazil,BRA,1985,28889605
Brazil,BRA,1986,30287000
Brazil,BRA,1987,29641987
Brazil,BRA,1988,28979383
Brazil,BRA,1989,30977843
Brazil,BRA,1990,32825392
Brazil,BRA,1991,32478773
Brazil,BRA,1992,32799027
Brazil,BRA,1993,34570042
Brazil,BRA,1994,35839524
Brazil,BRA,1995,37046259
Brazil,BRA,1996,41851471
Brazil,BRA,1997,44545677
Brazil,BRA,1998,51620023
Brazil,BRA,1999,58310277
Brazil,BRA,2000,65720000
Brazil,BRA,2001,68950000
Brazil,BRA,2002,77600000
Brazil,BRA,2003,80300000
Brazil,BRA,2004,79820000
Brazil,BRA,2005,88600000
Brazil,BRA,2006,93600000
Brazil,BRA,2007,94800000
Brazil,BRA,2008,98500000
Brazil,BRA,2009,105000000
Brazil,BRA,2010,110600000
Brazil,BRA,2011,113400000
Brazil,BRA,2012,111470000
Brazil,BRA,2013,109360000
Brazil,BRA,2014,121372585
Brazil,BRA,2015,130716876
Brazil,BRA,2016,135223698
Brazil,BRA,2017,141362424
Brazil,BRA,2018,139356470
Brazil,BRA,2019,149550768
Brazil,BRA,2020,157682321
Brazil,BRA,2021,154975843
Brazil,BRA,2022,161042769
Brazil,BRA,2023,180097838
Brunei,BRN,1970,6807000
Brunei,BRN,1971,6433000
Brunei,BRN,1972,8950000
Brunei,BRN,1973,7156000
Brunei,BRN,1974,9545000
Brunei,BRN,1975,9350000
Brunei,BRN,1976,10004000
Brunei,BRN,1977,10540000
Brunei,BRN,1978,11146000
Brunei,BRN,1979,12257000
Brunei,BRN,1980,10458000
Brunei,BRN,1981,8258000
Brunei,BRN,1982,8950000
Brunei,BRN,1983,8070000
Brunei,BRN,1984,7597000
Brunei,BRN,1985,7593000
Brunei,BRN,1986,7532000
Brunei,BRN,1987,7015000
Brunei,BRN,1988,6352000
Brunei,BRN,1989,6449000
Brunei,BRN,1990,6544000
Brunei,BRN,1991,8049000
Brunei,BRN,1992,8142000
Brunei,BRN,1993,8310000
Brunei,BRN,1994,8500000
Brunei,BRN,1995,8180000
Brunei,BRN,1996,8300000
Brunei,BRN,1997,8800000
Brunei,BRN,1998,8600000
Brunei,BRN,1999,9700000
Brunei,BRN,2000,10300000
Brunei,BRN,2001,10100000
Brunei,BRN,2002,10096000
Brunei,BRN,2003,10306000
Brunei,BRN,2004,10300000
Brunei,BRN,2005,10100000
Brunei,BRN,2006,10903000
Brunei,BRN,2007,9639000
Brunei,BRN,2008,8680000
Brunei,BRN,2009,8291000
Brunei,BRN,2010,8448000
Brunei,BRN,2011,8248000
Brunei,BRN,2012,7955925
Brunei,BRN,2013,6733840
Brunei,BRN,2014,6217262
Brunei,BRN,2015,6238268
Brunei,BRN,2016,5960395
Brunei,BRN,2017,5555999
Brunei,BRN,2018,5478268
Brunei,BRN,2019,5442245
Brunei,BRN,2020,5435513
Brunei,BRN,2021,5254692
Brunei,BRN,2022,4500000
Brunei,BRN,2023,4500000
Bulgaria,BGR,1970,334000
Bulgaria,BGR,1971,305000
Bulgaria,BGR,1972,248000
Bulgaria,BGR,1973,190000
Bulgaria,BGR,1974,144000
Bulgaria,BGR,1975,122000
Bulgaria,BGR,1976,117000
Bulgaria,BGR,1977,129000
Bulgaria,BGR,1978,250000
Bulgaria,BGR,1979,250000
Bulgaria,BGR,1980,250000
Bulgaria,BGR,1981,290000
Bulgaria,BGR,1982,300000
Bulgaria,BGR,1983,300000
Bulgaria,BGR,1984,280000
Bulgaria,BGR,1985,280000
Bulgaria,BGR,1986,93000
Bulgaria,BGR,1987,85000
Bulgaria,BGR,1988,77000
Bulgaria,BGR,1989,73000
Bulgaria,BGR,1990,60000
Bulgaria,BGR,1991,58000
Bulgaria,BGR,1992,53000
Bulgaria,BGR,1993,43000
Bulgaria,BGR,1994,36000
Bulgaria,BGR,1995,43000
Bulgaria,BGR,1996,32000
Bulgaria,BGR,1997,27750
Bulgaria,BGR,1998,31700
Bulgaria,BGR,1999,38700
Bulgaria,BGR,2000,42456
Bulgaria,BGR,2001,33888
Bulgaria,BGR,2002,33000
Bulgaria,BGR,2003,27900
Bulgaria,BGR,2004,33100
Bulgaria,BGR,2005,30000
Bulgaria,BGR,2006,27500
Bulgaria,BGR,2007,25700
Bulgaria,BGR,2008,23000
Bulgaria,BGR,2009,23800
Bulgaria,BGR,2010,22400
Bulgaria,BGR,2011,21400
Bulgaria,BGR,2012,23600
Bulgaria,BGR,2013,27400
Bulgaria,BGR,2014,26200
Bulgaria,BGR,2015,23700
Bulgaria,BGR,2016,22600
Bulgaria,BGR,2017,21930
Bulgaria,BGR,2018,20600
Bulgaria,BGR,2019,21930
Bulgaria,BGR,2020,21000
Bulgaria,BGR,2021,20300
Bulgaria,BGR,2022,19700
Bulgaria,BGR,2023,21000
Cameroon,CMR,1978,650000
Cameroon,CMR,1979,1730000
Cameroon,CMR,1980,2790000
Cameroon,CMR,1981,4420000
Cameroon,CMR,1982,5410000
Cameroon,CMR,1983,5650000
Cameroon,CMR,1984,7890000
Cameroon,CMR,1985,9200000
Cameroon,CMR,1986,9090000
Cameroon,CMR,1987,8602000
Cameroon,CMR,1988,8688000
Cameroon,CMR,1989,8642000
Cameroon,CMR,1990,8292000
Cameroon,CMR,1991,7709000
Cameroon,CMR,1992,7709000
Cameroon,CMR,1993,6978000
Cameroon,CMR,1994,6343000
Cameroon,CMR,1995,5400000
Cameroon,CMR,1996,5600000
Cameroon,CMR,1997,6300000
Cameroon,CMR,1998,5300000
Cameroon,CMR,1999,4800000
Cameroon,CMR,2000,4500000
Cameroon,CMR,2001,4100000
Cameroon,CMR,2002,3700000
Cameroon,CMR,2003,3400000
Cameroon,CMR,2004,4500000
Cameroon,CMR,2005,4200000
Cameroon,CMR,2006,4400000
Cameroon,CMR,2007,4343360
Cameroon,CMR,2008,4300000
Cameroon,CMR,2009,3700000
Cameroon,CMR,2010,3200000
Cameroon,CMR,2011,3200000
Cameroon,CMR,2012,3129000
Cameroon,CMR,2013,3399200
Cameroon,CMR,2014,3850000
Cameroon,CMR,2015,4896300
Cameroon,CMR,2016,4716700
Cameroon,CMR,2017,3880800
Cameroon,CMR,2018,3518600
Cameroon,CMR,2019,3545900
Cameroon,CMR,2020,3622200
Cameroon,CMR,2021,2631600
Cameroon,CMR,2022,3403200
Cameroon,CMR,2023,3257100
Canada,CAN,1970,66937000
Canada,CAN,1971,71518000
Canada,CAN,1972,81505000
Canada,CAN,1973,95120000
Canada,CAN,1974,89162000
Canada,CAN,1975,75534000
Canada,CAN,1976,69397000
Canada,CAN,1977,69737000
Canada,CAN,1978,69330000
Canada,CAN,1979,79110000
Canada,CAN,1980,76088000
Canada,CAN,1981,68009200
Canada,CAN,1982,67318700
Canada,CAN,1983,71838600
Canada,CAN,1984,76334900
Canada,CAN,1985,77795600
Canada,CAN,1986,77981100
Canada,CAN,1987,81322400
Canada,CAN,1988,85596900
Canada,CAN,1989,82606600
Canada,CAN,1990,82235200
Canada,CAN,1991,81963600
Canada,CAN,1992,85129400
Canada,CAN,1993,88765300
Canada,CAN,1994,92781400
Canada,CAN,1995,96135300
Canada,CAN,1996,98290500
Canada,CAN,1997,103172000
Canada,CAN,1998,107213800
Canada,CAN,1999,101744300
Canada,CAN,2000,111600000
Canada,CAN,2001,112500000
Canada,CAN,2002,120100000
Canada,CAN,2003,121700000
Canada,CAN,2004,122500000
Canada,CAN,2005,127400000
Canada,CAN,2006,131400000
Canada,CAN,2007,137300000
Canada,CAN,2008,135500000
Canada,CAN,2009,139300000
Canada,CAN,2010,141600000
Canada,CAN,2011,150200000
Canada,CAN,2012,161000000
Canada,CAN,2013,172500000
Canada,CAN,2014,186200000
Canada,CAN,2015,192100000
Canada,CAN,2016,193100000
Canada,CAN,2017,209600000
Canada,CAN,2018,228300000
Canada,CAN,2019,232900000
Canada,CAN,2020,222600000
Canada,CAN,2021,234500000
Canada,CAN,2022,273900000
Canada,CAN,2023,277900000
Chad,TCD,1999,0
Chad,TCD,2000,0
Chad,TCD,2001,0
Chad,TCD,2002,0
Chad,TCD,2003,1200000
Chad,TCD,2004,8800000
Chad,TCD,2005,9100000
Chad,TCD,2006,8000000
Chad,TCD,2007,7500000
Chad,TCD,2008,6700000
Chad,TCD,2009,6200000
Chad,TCD,2010,6400000
Chad,TCD,2011,6000000
Chad,TCD,2012,5300000
Chad,TCD,2013,4800000
Chad,TCD,2014,4700000
Chad,TCD,2015,5800000
Chad,TCD,2016,6100000
Chad,TCD,2017,5200000
Chad,TCD,2018,6100000
Chad,TCD,2019,6700000
Chad,TCD,2020,6600000
Chad,TCD,2021,6100000
Chad,TCD,2022,6500000
Chad,TCD,2023,7000000
Chile,CHL,1970,1803000
Chile,CHL,1971,1868000
Chile,CHL,1972,1817000
Chile,CHL,1973,1658000
Chile,CHL,1974,1458000
Chile,CHL,1975,1298000
Chile,CHL,1976,1215000
Chile,CHL,1977,1033000
Chile,CHL,1978,911000
Chile,CHL,1979,1097000
Chile,CHL,1980,1763000
