Country Code,Value,Variable,Year
AND,0,Landlocked,2007
AND,0,Landlocked,2008
AND,0,Landlocked,2009
AND,0,Landlocked,2010
AND,0,Landlocked,2011
AND,0,Landlocked,2012
AND,0,Landlocked,2013
AND,0,Landlocked,2014
AND,0,Landlocked,2015
AND,0,Landlocked,2016
AND,0,Landlocked,2017
AND,0,Landlocked,2018
AND,0,Landlocked,2019
AND,0,Landlocked,2020
AND,0,Landlocked,2021
AND,0,Landlocked,2022
AND,0,Landlocked,2023
ANT,0,Landlocked,1995
ANT,0,Landlocked,1996
ANT,0,Landlocked,1997
ANT,0,Landlocked,1998
ANT,0,Landlocked,1999
ANT,0,Landlocked,2000
ANT,0,Landlocked,2001
ANT,0,Landlocked,2002
ANT,0,Landlocked,2003
ANT,0,Landlocked,2004
ANT,0,Landlocked,2005
ANT,0,Landlocked,2006
ANT,0,Landlocked,2007
ANT,0,Landlocked,2008
ANT,0,Landlocked,2009
ANT,0,Landlocked,2010
ANT,0,Landlocked,2011
ANT,0,Landlocked,2012
ANT,0,Landlocked,2013
ANT,0,Landlocked,2014
ANT,0,Landlocked,2015
ANT,0,Landlocked,2016
ANT,0,Landlocked,2017
ANT,0,Landlocked,2018
ANT,0,Landlocked,2019
ANT,0,Landlocked,2020
ANT,0,Landlocked,2021
ANT,0,Landlocked,2022
ANT,0,Landlocked,2023
ARE,0,Landlocked,1995
ARE,0,Landlocked,1996
ARE,0,Landlocked,1997
ARE,0,Landlocked,1998
ARE,0,Landlocked,1999
ARE,0,Landlocked,2000
ARE,0,Landlocked,2001
ARE,0,Landlocked,2002
ARE,0,Landlocked,2003
ARE,0,Landlocked,2004
ARE,0,Landlocked,2005
ARE,0,Landlocked,2006
ARE,0,Landlocked,2007
ARE,0,Landlocked,2008
ARE,0,Landlocked,2009
ARE,0,Landlocked,2010
ARE,0,Landlocked,2011
ARE,0,Landlocked,2012
ARE,0,Landlocked,2013
ARE,0,Landlocked,2014
ARE,0,Landlocked,2015
ARE,0,Landlocked,2016
ARE,0,Landlocked,2017
ARE,0,Landlocked,2018
ARE,0,Landlocked,2019
ARE,0,Landlocked,2020
ARE,0,Landlocked,2021
ARE,0,Landlocked,2022
ARE,0,Landlocked,2023
ARG,0,Landlocked,1995
ARG,0,Landlocked,1996
ARG,0,Landlocked,1997
ARG,0,Landlocked,1998
ARG,0,Landlocked,1999
ARG,0,Landlocked,2000
ARG,0,Landlocked,2001
ARG,0,Landlocked,2002
ARG,0,Landlocked,2003
ARG,0,Landlocked,2004
ARG,0,Landlocked,2005
ARG,0,Landlocked,2006
ARG,0,Landlocked,2007
ARG,0,Landlocked,2008
ARG,0,Landlocked,2009
ARG,0,Landlocked,2010
ARG,0,Landlocked,2011
ARG,0,Landlocked,2012
ARG,0,Landlocked,2013
ARG,0,Landlocked,2014
ARG,0,Landlocked,2015
ARG,0,Landlocked,2016
ARG,0,Landlocked,2017
ARG,0,Landlocked,2018
ARG,0,Landlocked,2019
ARG,0,Landlocked,2020
ARG,0,Landlocked,2021
ARG,0,Landlocked,2022
ARG,0,Landlocked,2023
ARM,1,Landlocked,1995
ARM,1,Landlocked,1996
ARM,1,Landlocked,1997
ARM,1,Landlocked,1998
ARM,1,Landlocked,1999
ARM,1,Landlocked,2000
ARM,1,Landlocked,2001
ARM,1,Landlocked,2002
ARM,1,Landlocked,2003
ARM,1,Landlocked,2004
ARM,1,Landlocked,2005
ARM,1,Landlocked,2006
ARM,1,Landlocked,2007
ARM,1,Landlocked,2008
ARM,1,Landlocked,2009
ARM,1,Landlocked,2010
ARM,1,Landlocked,2011
ARM,1,Landlocked,2012
ARM,1,Landlocked,2013
ARM,1,Landlocked,2014
ARM,1,Landlocked,2015
ARM,1,Landlocked,2016
ARM,1,Landlocked,2017
ARM,1,Landlocked,2018
ARM,1,Landlocked,2019
ARM,1,Landlocked,2020
ARM,1,Landlocked,2021
ARM,1,Landlocked,2022
ARM,1,Landlocked,2023
ATF,0,Landlocked,1995
ATF,0,Landlocked,1996
ATF,0,Landlocked,1997
ATF,0,Landlocked,1998
ATF,0,Landlocked,1999
ATF,0,Landlocked,2000
ATF,0,Landlocked,2001
ATF,0,Landlocked,2002
ATF,0,Landlocked,2003
ATF,0,Landlocked,2004
ATF,0,Landlocked,2005
ATF,0,Landlocked,2006
ATF,0,Landlocked,2007
ATF,0,Landlocked,2008
ATF,0,Landlocked,2009
ATF,0,Landlocked,2010
ATF,0,Landlocked,2011
ATF,0,Landlocked,2012
ATF,0,Landlocked,2013
ATF,0,Landlocked,2014
ATF,0,Landlocked,2015
ATF,0,Landlocked,2016
ATF,0,Landlocked,2017
ATF,0,Landlocked,2018
ATF,0,Landlocked,2019
ATF,0,Landlocked,2020
ATF,0,Landlocked,2021
ATF,0,Landlocked,2022
ATF,0,Landlocked,2023
ATG,0,Landlocked,1995
ATG,0,Landlocked,1996
ATG,0,Landlocked,1997
ATG,0,Landlocked,1998
ATG,0,Landlocked,1999
ATG,0,Landlocked,2000
ATG,0,Landlocked,2001
ATG,0,Landlocked,2002
ATG,0,Landlocked,2003
ATG,0,Landlocked,2004
ATG,0,Landlocked,2005
ATG,0,Landlocked,2006
ATG,0,Landlocked,2007
ATG,0,Landlocked,2008
ATG,0,Landlocked,2009
ATG,0,Landlocked,2010
ATG,0,Landlocked,2011
ATG,0,Landlocked,2012
ATG,0,Landlocked,2013
ATG,0,Landlocked,2014
ATG,0,Landlocked,2015
ATG,0,Landlocked,2016
ATG,0,Landlocked,2017
ATG,0,Landlocked,2018
ATG,0,Landlocked,2019
ATG,0,Landlocked,2020
ATG,0,Landlocked,2021
ATG,0,Landlocked,2022
ATG,0,Landlocked,2023
AUS,0,Landlocked,1995
AUS,0,Landlocked,1996
AUS,0,Landlocked,1997
AUS,0,Landlocked,1998
AUS,0,Landlocked,1999
AUS,0,Landlocked,2000
AUS,0,Landlocked,2001
AUS,0,Landlocked,2002
AUS,0,Landlocked,2003
AUS,0,Landlocked,2004
AUS,0,Landlocked,2005
AUS,0,Landlocked,2006
AUS,0,Landlocked,2007
AUS,0,Landlocked,2008
AUS,0,Landlocked,2009
AUS,0,Landlocked,2010
AUS,0,Landlocked,2011
AUS,0,Landlocked,2012
AUS,0,Landlocked,2013
AUS,0,Landlocked,2014
AUS,0,Landlocked,2015
AUS,0,Landlocked,2016
AUS,0,Landlocked,2017
AUS,0,Landlocked,2018
AUS,0,Landlocked,2019
AUS,0,Landlocked,2020
AUS,0,Landlocked,2021
AUS,0,Landlocked,2022
AUS,0,Landlocked,2023
AUT,1,Landlocked,1995
AUT,1,Landlocked,1996
AUT,1,Landlocked,1997
AUT,1,Landlocked,1998
AUT,1,Landlocked,1999
AUT,1,Landlocked,2000
AUT,1,Landlocked,2001
AUT,1,Landlocked,2002
AUT,1,Landlocked,2003
AUT,1,Landlocked,2004
AUT,1,Landlocked,2005
AUT,1,Landlocked,2006
AUT,1,Landlocked,2007
AUT,1,Landlocked,2008
AUT,1,Landlocked,2009
AUT,1,Landlocked,2010
AUT,1,Landlocked,2011
AUT,1,Landlocked,2012
AUT,1,Landlocked,2013
AUT,1,Landlocked,2014
AUT,1,Landlocked,2015
AUT,1,Landlocked,2016
AUT,1,Landlocked,2017
AUT,1,Landlocked,2018
AUT,1,Landlocked,2019
AUT,1,Landlocked,2020
AUT,1,Landlocked,2021
AUT,1,Landlocked,2022
AUT,1,Landlocked,2023
AZE,1,Landlocked,1995
AZE,1,Landlocked,1996
AZE,1,Landlocked,1997
AZE,1,Landlocked,1998
AZE,1,Landlocked,1999
AZE,1,Landlocked,2000
AZE,1,Landlocked,2001
AZE,1,Landlocked,2002
AZE,1,Landlocked,2003
AZE,1,Landlocked,2004
AZE,1,Landlocked,2005
AZE,1,Landlocked,2006
AZE,1,Landlocked,2007
AZE,1,Landlocked,2008
AZE,1,Landlocked,2009
AZE,1,Landlocked,2010
AZE,1,Landlocked,2011
AZE,1,Landlocked,2012
AZE,1,Landlocked,2013
AZE,1,Landlocked,2014
AZE,1,Landlocked,2015
AZE,1,Landlocked,2016
AZE,1,Landlocked,2017
AZE,1,Landlocked,2018
AZE,1,Landlocked,2019
AZE,1,Landlocked,2020
AZE,1,Landlocked,2021
AZE,1,Landlocked,2022
AZE,1,Landlocked,2023
BDI,1,Landlocked,1995
BDI,1,Landlocked,1996
BDI,1,Landlocked,1997
BDI,1,Landlocked,1998
BDI,1,Landlocked,1999
BDI,1,Landlocked,2000
BDI,1,Landlocked,2001
BDI,1,Landlocked,2002
BDI,1,Landlocked,2003
BDI,1,Landlocked,2004
BDI,1,Landlocked,2005
BDI,1,Landlocked,2006
BDI,1,Landlocked,2007
BDI,1,Landlocked,2008
BDI,1,Landlocked,2009
BDI,1,Landlocked,2010
BDI,1,Landlocked,2011
BDI,1,Landlocked,2012
BDI,1,Landlocked,2013
BDI,1,Landlocked,2014
BDI,1,Landlocked,2015
BDI,1,Landlocked,2016
BDI,1,Landlocked,2017
BDI,1,Landlocked,2018
BDI,1,Landlocked,2019
BDI,1,Landlocked,2020
BDI,1,Landlocked,2021
BDI,1,Landlocked,2022
BDI,1,Landlocked,2023
BEL,0,Landlocked,1995
BEL,0,Landlocked,1996
BEL,0,Landlocked,1997
BEL,0,Landlocked,1998
BEL,0,Landlocked,1999
BEL,0,Landlocked,2000
BEL,0,Landlocked,2001
BEL,0,Landlocked,2002
BEL,0,Landlocked,2003
BEL,0,Landlocked,2004
BEL,0,Landlocked,2005
BEL,0,Landlocked,2006
BEL,0,Landlocked,2007
BEL,0,Landlocked,2008
BEL,0,Landlocked,2009
BEL,0,Landlocked,2010
BEL,0,Landlocked,2011
BEL,0,Landlocked,2012
BEL,0,Landlocked,2013
BEL,0,Landlocked,2014
BEL,0,Landlocked,2015
BEL,0,Landlocked,2016
BEL,0,Landlocked,2017
BEL,0,Landlocked,2018
BEL,0,Landlocked,2019
BEL,0,Landlocked,2020
BEL,0,Landlocked,2021
BEL,0,Landlocked,2022
BEL,0,Landlocked,2023
BEN,0,Landlocked,1995
BEN,0,Landlocked,1996
BEN,0,Landlocked,1997
BEN,0,Landlocked,1998
BEN,0,Landlocked,1999
BEN,0,Landlocked,2000
BEN,0,Landlocked,2001
BEN,0,Landlocked,2002
BEN,0,Landlocked,2003
BEN,0,Landlocked,2004
BEN,0,Landlocked,2005
BEN,0,Landlocked,2006
BEN,0,Landlocked,2007
BEN,0,Landlocked,2008
BEN,0,Landlocked,2009
BEN,0,Landlocked,2010
BEN,0,Landlocked,2011
BEN,0,Landlocked,2012
BEN,0,Landlocked,2013
BEN,0,Landlocked,2014
BEN,0,Landlocked,2015
BEN,0,Landlocked,2016
BEN,0,Landlocked,2017
BEN,0,Landlocked,2018
BEN,0,Landlocked,2019
BEN,0,Landlocked,2020
BEN,0,Landlocked,2021
BEN,0,Landlocked,2022
BEN,0,Landlocked,2023
BFA,1,Landlocked,1995
BFA,1,Landlocked,1996
BFA,1,Landlocked,1997
BFA,1,Landlocked,1998
BFA,1,Landlocked,1999
BFA,1,Landlocked,2000
BFA,1,Landlocked,2001
BFA,1,Landlocked,2002
BFA,1,Landlocked,2003
BFA,1,Landlocked,2004
BFA,1,Landlocked,2005
BFA,1,Landlocked,2006
BFA,1,Landlocked,2007
BFA,1,Landlocked,2008
BFA,1,Landlocked,2009
BFA,1,Landlocked,2010
BFA,1,Landlocked,2011
BFA,1,Landlocked,2012
BFA,1,Landlocked,2013
BFA,1,Landlocked,2014
BFA,1,Landlocked,2015
BFA,1,Landlocked,2016
BFA,1,Landlocked,2017
BFA,1,Landlocked,2018
BFA,1,Landlocked,2019
BFA,1,Landlocked,2020
BFA,1,Landlocked,2021
BFA,1,Landlocked,2022
BFA,1,Landlocked,2023
BGD,0,Landlocked,1995
BGD,0,Landlocked,1996
BGD,0,Landlocked,1997
BGD,0,Landlocked,1998
BGD,0,Landlocked,1999
BGD,0,Landlocked,2000
BGD,0,Landlocked,2001
BGD,0,Landlocked,2002
BGD,0,Landlocked,2003
BGD,0,Landlocked,2004
BGD,0,Landlocked,2005
BGD,0,Landlocked,2006
BGD,0,Landlocked,2007
BGD,0,Landlocked,2008
BGD,0,Landlocked,2009
BGD,0,Landlocked,2010
BGD,0,Landlocked,2011
BGD,0,Landlocked,2012
BGD,0,Landlocked,2013
BGD,0,Landlocked,2014
BGD,0,Landlocked,2015
BGD,0,Landlocked,2016
BGD,0,Landlocked,2017
BGD,0,Landlocked,2018
BGD,0,Landlocked,2019
BGD,0,Landlocked,2020
BGD,0,Landlocked,2021
BGD,0,Landlocked,2022
BGD,0,Landlocked,2023
BGR,0,Landlocked,1995
BGR,0,Landlocked,1996
BGR,0,Landlocked,1997
BGR,0,Landlocked,1998
BGR,0,Landlocked,1999
BGR,0,Landlocked,2000
BGR,0,Landlocked,2001
BGR,0,Landlocked,2002
BGR,0,Landlocked,2003
BGR,0,Landlocked,2004
BGR,0,Landlocked,2005
BGR,0,Landlocked,2006
BGR,0,Landlocked,2007
BGR,0,Landlocked,2008
BGR,0,Landlocked,2009
BGR,0,Landlocked,2010
BGR,0,Landlocked,2011
BGR,0,Landlocked,2012
BGR,0,Landlocked,2013
BGR,0,Landlocked,2014
BGR,0,Landlocked,2015
BGR,0,Landlocked,2016
BGR,0,Landlocked,2017
BGR,0,Landlocked,2018
BGR,0,Landlocked,2019
BGR,0,Landlocked,2020
BGR,0,Landlocked,2021
BGR,0,Landlocked,2022
BGR,0,Landlocked,2023
BHR,0,Landlocked,1995
BHR,0,Landlocked,1996
BHR,0,Landlocked,1997
BHR,0,Landlocked,1998
BHR,0,Landlocked,1999
BHR,0,Landlocked,2000
BHR,0,Landlocked,2001
BHR,0,Landlocked,2002
BHR,0,Landlocked,2003
BHR,0,Landlocked,2004
BHR,0,Landlocked,2005
BHR,0,Landlocked,2006
BHR,0,Landlocked,2007
BHR,0,Landlocked,2008
BHR,0,Landlocked,2009
BHR,0,Landlocked,2010
BHR,0,Landlocked,2011
BHR,0,Landlocked,2012
BHR,0,Landlocked,2013
BHR,0,Landlocked,2014
BHR,0,Landlocked,2015
BHR,0,Landlocked,2016
BHR,0,Landlocked,2017
BHR,0,Landlocked,2018
BHR,0,Landlocked,2019
BHR,0,Landlocked,2020
BHR,0,Landlocked,2021
BHR,0,Landlocked,2022
BHR,0,Landlocked,2023
BHS,0,Landlocked,1995
BHS,0,Landlocked,1996
BHS,0,Landlocked,1997
BHS,0,Landlocked,1998
BHS,0,Landlocked,1999
BHS,0,Landlocked,2000
BHS,0,Landlocked,2001
BHS,0,Landlocked,2002
BHS,0,Landlocked,2003
BHS,0,Landlocked,2004
BHS,0,Landlocked,2005
BHS,0,Landlocked,2006
BHS,0,Landlocked,2007
BHS,0,Landlocked,2008
BHS,0,Landlocked,2009
BHS,0,Landlocked,2010
BHS,0,Landlocked,2011
BHS,0,Landlocked,2012
BHS,0,Landlocked,2013
BHS,0,Landlocked,2014
BHS,0,Landlocked,2015
BHS,0,Landlocked,2016
BHS,0,Landlocked,2017
BHS,0,Landlocked,2018
BHS,0,Landlocked,2019
BHS,0,Landlocked,2020
BHS,0,Landlocked,2021
BHS,0,Landlocked,2022
BHS,0,Landlocked,2023
BIH,0,Landlocked,1995
BIH,0,Landlocked,1996
BIH,0,Landlocked,1997
BIH,0,Landlocked,1998
BIH,0,Landlocked,1999
BIH,0,Landlocked,2000
BIH,0,Landlocked,2001
BIH,0,Landlocked,2002
BIH,0,Landlocked,2003
BIH,0,Landlocked,2004
BIH,0,Landlocked,2005
BIH,0,Landlocked,2006
BIH,0,Landlocked,2007
BIH,0,Landlocked,2008
BIH,0,Landlocked,2009
BIH,0,Landlocked,2010
BIH,0,Landlocked,2011
BIH,0,Landlocked,2012
BIH,0,Landlocked,2013
BIH,0,Landlocked,2014
BIH,0,Landlocked,2015
BIH,0,Landlocked,2016
BIH,0,Landlocked,2017
BIH,0,Landlocked,2018
BIH,0,Landlocked,2019
BIH,0,Landlocked,2020
BIH,0,Landlocked,2021
BIH,0,Landlocked,2022
BIH,0,Landlocked,2023
BLR,0,Landlocked,1995
BLR,0,Landlocked,1996
BLR,0,Landlocked,1997
BLR,0,Landlocked,1998
BLR,0,Landlocked,1999
BLR,0,Landlocked,2000
BLR,0,Landlocked,2001
BLR,0,Landlocked,2002
BLR,0,Landlocked,2003
BLR,0,Landlocked,2004
BLR,0,Landlocked,2005
BLR,0,Landlocked,2006
BLR,0,Landlocked,2007
BLR,0,Landlocked,2008
BLR,0,Landlocked,2009
BLR,0,Landlocked,2010
BLR,0,Landlocked,2011
BLR,0,Landlocked,2012
BLR,0,Landlocked,2013
BLR,0,Landlocked,2014
BLR,0,Landlocked,2015
BLR,0,Landlocked,2016
BLR,0,Landlocked,2017
BLR,0,Landlocked,2018
BLR,0,Landlocked,2019
BLR,0,Landlocked,2020
BLR,0,Landlocked,2021
BLR,0,Landlocked,2022
BLR,0,Landlocked,2023
BLZ,0,Landlocked,1995
BLZ,0,Landlocked,1996
BLZ,0,Landlocked,1997
BLZ,0,Landlocked,1998
BLZ,0,Landlocked,1999
BLZ,0,Landlocked,2000
BLZ,0,Landlocked,2001
BLZ,0,Landlocked,2002
BLZ,0,Landlocked,2003
BLZ,0,Landlocked,2004
BLZ,0,Landlocked,2005
BLZ,0,Landlocked,2006
BLZ,0,Landlocked,2007
BLZ,0,Landlocked,2008
BLZ,0,Landlocked,2009
BLZ,0,Landlocked,2010
BLZ,0,Landlocked,2011
BLZ,0,Landlocked,2012
BLZ,0,Landlocked,2013
BLZ,0,Landlocked,2014
BLZ,0,Landlocked,2015
BLZ,0,Landlocked,2016
BLZ,0,Landlocked,2017
BLZ,0,Landlocked,2018
BLZ,0,Landlocked,2019
BLZ,0,Landlocked,2020
BLZ,0,Landlocked,2021
BLZ,0,Landlocked,2022
BLZ,0,Landlocked,2023
BMU,0,Landlocked,1995
BMU,0,Landlocked,1996
BMU,0,Landlocked,1997
BMU,0,Landlocked,1998
BMU,0,Landlocked,1999
BMU,0,Landlocked,2000
BMU,0,Landlocked,2001
BMU,0,Landlocked,2002
BMU,0,Landlocked,2003
BMU,0,Landlocked,2004
BMU,0,Landlocked,2005
BMU,0,Landlocked,2006
BMU,0,Landlocked,2007
BMU,0,Landlocked,2008
BMU,0,Landlocked,2009
BMU,0,Landlocked,2010
BMU,0,Landlocked,2011
BMU,0,Landlocked,2012
BMU,0,Landlocked,2013
BMU,0,Landlocked,2014
BMU,0,Landlocked,2015
BMU,0,Landlocked,2016
BMU,0,Landlocked,2017
BMU,0,Landlocked,2018
BMU,0,Landlocked,2019
BMU,0,Landlocked,2020
BMU,0,Landlocked,2021
BMU,0,Landlocked,2022
BMU,0,Landlocked,2023
BOL,1,Landlocked,1995
BOL,1,Landlocked,1996
BOL,1,Landlocked,1997
BOL,1,Landlocked,1998
BOL,1,Landlocked,1999
BOL,1,Landlocked,2000
BOL,1,Landlocked,2001
BOL,1,Landlocked,2002
BOL,1,Landlocked,2003
BOL,1,Landlocked,2004
BOL,1,Landlocked,2005
BOL,1,Landlocked,2006
BOL,1,Landlocked,2007
BOL,1,Landlocked,2008
BOL,1,Landlocked,2009
BOL,1,Landlocked,2010
BOL,1,Landlocked,2011
BOL,1,Landlocked,2012
BOL,1,Landlocked,2013
BOL,1,Landlocked,2014
BOL,1,Landlocked,2015
BOL,1,Landlocked,2016
BOL,1,Landlocked,2017
BOL,1,Landlocked,2018
BOL,1,Landlocked,2019
BOL,1,Landlocked,2020
BOL,1,Landlocked,2021
BOL,1,Landlocked,2022
BOL,1,Landlocked,2023
BRA,0,Landlocked,1995
BRA,0,Landlocked,1996
BRA,0,Landlocked,1997
BRA,0,Landlocked,1998
BRA,0,Landlocked,1999
BRA,0,Landlocked,2000
BRA,0,Landlocked,2001
BRA,0,Landlocked,2002
BRA,0,Landlocked,2003
BRA,0,Landlocked,2004
BRA,0,Landlocked,2005
BRA,0,Landlocked,2006
BRA,0,Landlocked,2007
BRA,0,Landlocked,2008
BRA,0,Landlocked,2009
BRA,0,Landlocked,2010
BRA,0,Landlocked,2011
BRA,0,Landlocked,2012
BRA,0,Landlocked,2013
BRA,0,Landlocked,2014
BRA,0,Landlocked,2015
BRA,0,Landlocked,2016
BRA,0,Landlocked,2017
BRA,0,Landlocked,2018
BRA,0,Landlocked,2019
BRA,0,Landlocked,2020
BRA,0,Landlocked,2021
BRA,0,Landlocked,2022
BRA,0,Landlocked,2023
BRB,0,Landlocked,1995
BRB,0,Landlocked,1996
BRB,0,Landlocked,1997
BRB,0,Landlocked,1998
BRB,0,Landlocked,1999
BRB,0,Landlocked,2000
BRB,0,Landlocked,2001
BRB,0,Landlocked,2002
BRB,0,Landlocked,2003
BRB,0,Landlocked,2004
BRB,0,Landlocked,2005
BRB,0,Landlocked,2006
BRB,0,Landlocked,2007
BRB,0,Landlocked,2008
BRB,0,Landlocked,2009
BRB,0,Landlocked,2010
BRB,0,Landlocked,2011
BRB,0,Landlocked,2012
BRB,0,Landlocked,2013
BRB,0,Landlocked,2014
BRB,0,Landlocked,2015
BRB,0,Landlocked,2016
BRB,0,Landlocked,2017
BRB,0,Landlocked,2018
BRB,0,Landlocked,2019
BRB,0,Landlocked,2020
BRB,0,Landlocked,2021
BRB,0,Landlocked,2022
BRB,0,Landlocked,2023
BRN,0,Landlocked,1995
BRN,0,Landlocked,1996
BRN,0,Landlocked,1997
BRN,0,Landlocked,1998
BRN,0,Landlocked,1999
BRN,0,Landlocked,2000
BRN,0,Landlocked,2001
BRN,0,Landlocked,2002
BRN,0,Landlocked,2003
BRN,0,Landlocked,2004
BRN,0,Landlocked,2005
BRN,0,Landlocked,2006
BRN,0,Landlocked,2007
BRN,0,Landlocked,2008
BRN,0,Landlocked,2009
BRN,0,Landlocked,2010
BRN,0,Landlocked,2011
BRN,0,Landlocked,2012
BRN,0,Landlocked,2013
BRN,0,Landlocked,2014
BRN,0,Landlocked,2015
BRN,0,Landlocked,2016
BRN,0,Landlocked,2017
BRN,0,Landlocked,2018
BRN,0,Landlocked,2019
BRN,0,Landlocked,2020
BRN,0,Landlocked,2021
BRN,0,Landlocked,2022
BRN,0,Landlocked,2023
BTN,1,Landlocked,1995
BTN,1,Landlocked,1996
BTN,1,Landlocked,1997
BTN,1,Landlocked,1998
BTN,1,Landlocked,1999
BTN,1,Landlocked,2000
BTN,1,Landlocked,2001
BTN,1,Landlocked,2002
BTN,1,Landlocked,2003
BTN,1,Landlocked,2004
BTN,1,Landlocked,2005
BTN,1,Landlocked,2006
BTN,1,Landlocked,2007
BTN,1,Landlocked,2008
BTN,1,Landlocked,2009
BTN,1,Landlocked,2010
BTN,1,Landlocked,2011
BTN,1,Landlocked,2012
BTN,1,Landlocked,2013
BTN,1,Landlocked,2014
BTN,1,Landlocked,2015
BTN,1,Landlocked,2016
BTN,1,Landlocked,2017
BTN,1,Landlocked,2018
BTN,1,Landlocked,2019
BTN,1,Landlocked,2020
BTN,1,Landlocked,2021
BTN,1,Landlocked,2022
BTN,1,Landlocked,2023
BWA,1,Landlocked,1995
BWA,1,Landlocked,1996
BWA,1,Landlocked,1997
